"X1","X2"
0.999801,0.999796
0.999623,0.996811
0.979436,0.992014
0.999897,0.995445
0.986964,0.998668
0.987691,0.919898
0.960503,0.992656
0.98097,0.966706
0.858592,0.986224
0.985524,0.992997
0.989617,0.991958
0.945553,0.999993
0.989096,0.991468
0.984718,0.987276
0.983148,0.993973
0.998063,0.969105
0.995937,0.981419
0.918202,0.99298
0.984069,0.993548
0.998917,0.995213
0.96506,0.99899
0.991849,0.99969
0.999421,0.999751
0.998838,0.986438
0.99124,0.95092
0.999437,0.993774
0.999382,0.989038
0.989406,0.998004
0.998019,0.997685
0.991362,0.963917
0.991425,0.948678
0.999002,0.988332
0.978635,0.961952
0.981954,0.986475
0.956031,0.950703
0.999886,0.975147
0.998579,0.999821
0.993476,0.999555
0.999534,0.998318
0.998738,0.997501
0.998441,0.99547
0.968932,0.993269
0.962975,0.99587
0.998395,0.999791
0.997819,0.994048
0.988432,0.999145
0.997676,0.997092
0.987027,0.965683
0.992049,0.994507
0.998251,0.98439
0.994203,0.999936
0.987387,0.950048
0.981846,0.998438
0.991712,0.975795
0.991587,0.950048
0.995268,0.999432
0.970423,0.996539
0.98984,0.966527
0.971109,0.984724
0.978989,0.958047
0.974635,0.998875
0.987126,0.99281
0.975975,0.999933
0.988214,0.99022
0.977316,0.99444
0.962121,0.999552
0.921894,0.999819
0.985214,0.500427
0.99778,0.971166
0.997368,0.995766
0.999199,0.992312
0.999935,0.957424
0.98542,0.995053
0.99913,0.950446
0.993458,0.949198
0.994558,0.953656
0.942192,0.999716
0.95841,0.96709
0.976786,0.996812
0.994472,0.979159
0.999593,0.999336
0.967288,0.995508
0.94459,0.998645
0.993295,0.958111
0.998963,0.97581
0.992561,0.999185
0.997556,0.994836
0.989978,0.989769
0.988371,0.999983
0.997632,0.955619
0.972492,0.263701
0.964156,0.999189
0.952428,0.958047
0.999846,0.941953
0.984016,0.947154
0.989441,0.929994
0.997644,0.999709
0.981807,0.964697
0.985356,0.998677
0.977481,0.958695
0.999602,0.998904
0.999433,0.968773
0.97699,0.988761
0.999274,0.999845
0.990162,0.950048
0.976535,0.970061
0.985055,0.999765
0.999715,0.999639
0.99957,0.997097
0.999825,0.998191
0.976014,0.952838
0.998282,0.99865
0.974777,0.998369
0.999761,0.949139
0.98129,0.997498
0.998456,0.640669
0.998512,0.996482
0.996914,0.99871
0.960963,0.999857
0.978023,0.943993
0.968777,0.998843
0.995674,0.929176
0.991189,0.999845
0.970335,0.990166
0.999454,0.950638
0.999548,0.991555
0.995236,0.999851
0.8852,0.999979
0.994445,0.997489
0.982326,0.999659
0.998816,0.99705
0.998291,0.986173
0.962121,0.968747
0.945602,0.998613
0.997056,0.999963
0.996032,0.994357
0.993556,0.998527
0.978453,0.971394
0.989577,0.94416
0.949727,0.985981
0.988003,0.999887
0.960708,0.994173
0.998432,0.999961
0.993315,0.991318
0.999227,0.997763
0.95533,0.99502
0.970992,0.968762
0.99473,0.999873
0.998234,0.933715
0.995529,0.922435
0.992696,0.996998
0.999313,0.995368
0.993706,0.973577
0.987913,0.994591
0.997771,0.990671
0.989232,0.999865
0.994682,0.970842
0.999538,0.997962
0.997532,0.998764
0.988262,0.996563
0.997926,0.95657
0.993951,0.984616
0.994405,0.965184
0.995401,0.998859
0.956291,0.992876
0.960102,0.993874
0.982849,0.997064
0.999266,0.96546
0.99825,0.991769
0.999533,0.986727
0.971937,0.97013
0.960682,0.978948
0.999931,0.944242
0.980014,0.984354
0.999465,0.999474
0.970421,0.996326
