"X1","X2","X3","X4","X5"
0.997599,0.990911,0.999083,0.987764,0.996063
0.709669,0.98936,0.999243,0.974224,0.998762
0.975859,0.978641,0.998604,0.998858,0.993584
0.988816,0.984204,0.998915,0.971624,0.997929
0.999901,0.956593,0.929908,0.961082,0.993269
0.992689,0.999963,0.987925,0.981154,0.999255
0.961649,0.979801,0.91205,0.97229,0.948994
0.999315,0.959124,0.98963,0.998923,0.995755
0.943644,0.962547,0.921381,0.965258,0.999634
0.944013,0.996716,0.999406,0.997235,0.995772
0.986349,0.969892,0.996448,0.953109,0.95906
0.997377,0.980723,0.981555,0.957285,0.969727
0.991248,0.998514,0.96069,0.957097,0.995537
0.963462,0.977855,0.966412,0.983871,0.994118
0.993241,0.957174,0.971466,0.989865,0.947078
0.95807,0.999339,0.968223,0.998894,0.985159
0.998454,0.986558,0.995034,0.873131,0.973535
0.998353,0.953198,0.999832,0.979817,0.953842
0.999028,0.996638,0.996742,0.963918,0.999009
0.973694,0.98397,0.998093,0.994442,0.98701
0.997605,0.994313,0.962335,0.979321,0.976554
0.956557,0.9577,0.993753,0.998222,0.999353
0.986227,0.992514,0.95498,0.997578,0.929671
0.976807,0.999759,0.971318,0.999831,0.861418
0.957512,0.939548,0.954148,0.965345,0.96316
0.985614,0.978777,0.968061,0.997691,0.998169
0.999835,0.968088,0.977515,0.980801,0.969422
0.996697,0.9588,0.992707,0.989826,0.965108
0.984091,0.960301,0.982133,0.998281,0.994391
0.991413,0.98799,0.852901,0.973035,0.971786
0.999276,0.962988,0.97641,0.999735,0.999128
0.996751,0.978215,0.958879,0.956678,0.831288
0.996219,0.982253,0.982187,0.941818,0.97218
0.999669,0.992267,0.998553,0.976585,0.999122
0.998574,0.999344,0.959619,0.979491,0.994281
0.998811,0.957869,0.983079,0.643934,0.956753
0.997817,0.954175,0.989931,0.99709,0.982439
0.964572,0.971183,0.976898,0.982783,0.996705
0.957566,0.992009,0.903472,0.958442,0.990325
0.965602,0.975624,0.9332,0.992333,0.999583
0.953942,0.948602,0.997688,0.996609,0.992031
0.999509,0.997801,0.933033,0.956655,0.997491
0.979143,0.973865,0.929478,0.998902,0.977754
0.966976,0.997304,0.995338,0.995474,0.942668
0.988276,0.996599,0.991874,0.997247,0.999068
0.971892,0.965258,0.958344,0.979739,0.881479
0.980384,0.990242,0.996724,0.975308,0.999686
0.953306,0.990022,0.996393,0.979127,0.895858
0.998766,0.9999,0.997494,0.921674,0.999718
0.95944,0.994581,0.988752,0.998482,0.999163
0.97796,0.999289,0.954214,0.999549,0.997961
0.995998,0.998277,0.957402,0.997648,0.992908
0.955665,0.993575,0.997607,0.980884,0.994207
0.998524,0.992401,0.984402,0.997802,0.972715
0.969166,0.960289,0.958544,0.984427,0.996121
0.994574,0.996176,0.984768,0.999295,0.963468
0.944699,0.960282,0.984125,0.971498,0.999239
0.996061,0.971129,0.988714,0.809359,0.979065
0.978703,0.9828,0.948544,0.878134,0.98235
0.983376,0.978774,0.955185,0.969893,0.998201
0.999846,0.998833,0.954426,0.990682,0.960967
0.982355,0.99749,0.941918,0.988896,0.988756
0.975939,0.990547,0.996616,0.99158,0.969445
0.977337,0.956067,0.998181,0.998789,0.963493
0.956674,0.99915,0.998573,0.98324,0.991101
0.980768,0.997804,0.994032,0.991731,0.970957
0.996444,0.99278,0.976393,0.977265,0.999385
0.998147,0.999,0.995011,0.978666,0.956593
0.956213,0.999182,0.886558,0.967464,0.965871
0.967196,0.969266,0.91628,0.996568,0.99979
0.98446,0.991293,0.997934,0.964637,0.969189
0.989927,0.947376,0.999671,0.993535,0.897381
0.994459,0.999494,0.993288,0.977494,0.874018
0.722974,0.984809,0.99307,0.982969,0.967211
0.997742,0.994618,0.994141,0.982051,0.958883
0.998903,0.9982,0.958826,0.893135,0.996645
0.970196,0.988895,0.980351,0.94331,0.995617
0.999708,0.902106,0.929463,0.961191,0.995051
0.996797,0.983577,0.96511,0.93699,0.999448
