"X1","X2","X3","X4","X5"
0.0373787,0.0400272,0.0401542,0.043934,0.0395042
0.0390439,0.0497746,0.0480268,0.0388613,0.0400151
0.0456532,0.0392558,0.0387725,0.0400851,0.0333741
0.0296549,0.0407175,0.0407396,0.0555666,0.0385205
0.0137253,0.0392247,0.0425638,0.0334414,0.0411045
0.0407189,0.0396259,0.0433801,0.0380292,0.0165589
0.0368025,0.037811,0.0383466,0.0426535,0.039473
0.0410653,0.0397438,0.0414896,0.0399555,0.0419257
0.0359374,0.0466311,0.020125,0.0381371,0.0408962
0.0386519,0.0393595,0.0393034,0.0441023,0.0385443
0.0495376,0.0383009,0.04581,0.0297109,0.0372966
0.0385988,0.0411874,0.0406977,0.0349052,0.0385205
0.035954,0.039887,0.0397647,0.0361419,0.0418487
0.038465,0.03817,0.0412449,0.0428738,0.041657
0.0400812,0.0382624,0.0435809,0.0394002,0.0366788
0.0402902,0.0381754,0.0411872,0.0402808,0.0385912
0.0437034,0.0244888,0.0412594,0.03506,0.0469094
0.0406154,0.0391204,0.0457232,0.0347839,0.0406143
0.0411782,0.0425073,0.0380342,0.0390014,0.0422544
0.0414994,0.039777,0.0370398,0.0397857,0.0441242
0.0383542,0.0414745,0.0438541,0.0389267,0.0421995
0.0144326,0.0399293,0.0328957,0.041009,0.0485784
0.0387528,0.0431348,0.0388041,0.0339135,0.0380986
0.0445722,0.0390212,0.0387024,0.039605,0.0362474
0.0413992,0.0379297,0.0389778,0.0372104,0.0393403
0.0428904,0.0373189,0.0389088,0.0400624,0.0367385
0.036501,0.0349264,0.039225,0.0380468,0.046358
0.0421931,0.0434537,0.0399906,0.0394164,0.0529764
0.0413009,0.0441346,0.0407522,0.0360363,0.0249472
0.04471,0.0406308,0.0363256,0.0397095,0.0272396
0.0458275,0.0441168,0.0390145,0.0378575,0.0410098
0.0427721,0.0438171,0.0429376,0.0567565,0.0393273
0.0394552,0.0395246,0.0412878,0.0400107,0.0374074
0.0355377,0.0433526,0.03806,0.0398373,0.0355776
0.0425831,0.0377873,0.0555273,0.0400704,0.0399545
0.0688107,0.0521894,0.0388429,0.0381607,0.0410442
0.0427685,0.0583247,0.040249,0.0400707,0.0415333
0.0416239,0.0458106,0.0427424,0.03793,0.0356538
0.0719459,0.039483,0.0413476,0.065066,0.0311252
0.0500578,0.0311601,0.0370657,0.036984,0.0359954
0.0369204,0.0444734,0.0377554,0.0406049,0.0863895
0.034851,0.0587137,0.0398102,0.037187,0.0399502
0.0679343,0.0371282,0.040132,0.0406164,0.038668
0.047197,0.0312362,0.0425223,0.0359627,0.0390686
0.039972,0.028446,0.0421438,0.0380529,0.0408749
0.0394608,0.0444603,0.0397475,0.0399495,0.0493323
0.0431547,0.03915,0.0393319,0.041065,0.0394375
0.041053,0.0411192,0.039209,0.0411699,0.0473132
0.0447773,0.0403285,0.0334071,0.0589633,0.0371935
0.0443263,0.0420007,0.0372229,0.0362327,3.67205e-014
0.0449189,0.0389786,0.023093,0.0470553,0.043796
0.0434156,0.0395539,0.0416408,0.0381279,0.0397673
0.0403526,0.0387616,0.0387718,0.196473,0.0370418
0.0379703,0.0442581,0.0254736,0.038855,0.0408211
0.0436628,0.0397602,0.0384175,0.0388046,0.0392603
0.0314484,0.0460966,0.0431685,0.0438729,0.0416279
0.0418393,0.0752229,0.0441871,0.0404949,0.0393505
0.047251,0.0368794,0.0386702,0.0341218,0.051434
0.0304428,0.00771517,0.0395236,0.0379277,0.0446898
0.0386031,0.0403648,0.0394971,0.0408439,0.0405013
0.036287,0.0650655,0.0391348,0.0400413,0.0543323
0.0422435,0.0404008,0.0411543,0.0338745,0.0389968
0.0410761,0.0420057,0.0320281,0.0399263,2.12632e-008
0.0357799,0.0577099,0.04086,0.0366135,0.0361555
0.0421642,0.0438433,0.0416484,0.0499912,0.0237365
0.0405957,0.0398018,0.0397662,0.0394374,0.0434639
0.0349222,0.0346294,0.0399841,0.0375453,0.0387763
0.0900846,0.0389946,0.0414896,0.0388642,0.0491883
0.0332173,0.0394608,0.0427751,0.0343442,0.0479658
0.0355631,0.0390703,0.0343903,0.0397566,0.0411299
0.0370374,0.0404813,0.0405648,0.0380901,0.0380277
0.0413274,0.0439902,0.0407396,0.0388276,0.0416149
0.0365858,0.0510739,0.0375483,0.0518396,0.0376348
0.0444136,0.0392255,0.039635,0.0298028,0.0382386
0.0375763,0.045316,0.0436423,0.0272315,0.0374965
0.0413763,0.0399691,0.0412311,0.0378141,0.0403726
0.0355127,0.00416324,0.0385912,0.0385117,0.0422883
