"VAR_0001","VAR_0002","VAR_0003","VAR_0065","VAR_0070","VAR_0085","VAR_0136","VAR_0198","VAR_0211","VAR_0224","VAR_0238","VAR_0241","VAR_0268","VAR_0272","VAR_0273","VAR_0274","VAR_0281","VAR_0292","VAR_0294","VAR_0298","VAR_0302","VAR_0312","VAR_0314","VAR_0318","VAR_0323","VAR_0330","VAR_0337","VAR_0504","VAR_0513","VAR_0515","VAR_0539","VAR_0543","VAR_0549","VAR_0554","VAR_0560","VAR_0578","VAR_0582","VAR_0607","VAR_0608","VAR_0610","VAR_0612","VAR_0649","VAR_0654","VAR_0704","VAR_0707","VAR_0710","VAR_0711","VAR_0715","VAR_0719","VAR_0794","VAR_0805","VAR_0806","VAR_0809","VAR_0849","VAR_0852","VAR_0853","VAR_0854","VAR_0857","VAR_0870","VAR_0879","VAR_0880","VAR_0882","VAR_0884","VAR_0885","VAR_0887","VAR_0891","VAR_0895","VAR_0908","VAR_0916","VAR_0917","VAR_0918","VAR_0919","VAR_0920","VAR_0967","VAR_0969","VAR_1021","VAR_1087","VAR_1088","VAR_1119","VAR_1126","VAR_1127","VAR_1130","VAR_1135","VAR_1149","VAR_1150","VAR_1247","VAR_1257","VAR_1320","VAR_1328","VAR_1397","VAR_1494","VAR_1529","VAR_1530","VAR_1566","VAR_1746","VAR_1747","VAR_1749","VAR_1790","VAR_1934","VAR_0073"
"H",224,0,1,0,1,0,64,NA,1,1,33324,1,595,582,"FL",2,1,2011,0,348,1,2011,0,1,-1,0,0,0,0,0,116783,998,9996,96,113,1,1000,1977,3230,4,999999996,999999997,25619,107,-99999,1,1,1,0,1,1,-99999,5,5,-99999,-99999,-99999,41,11,68,-99999,62,100,19214,-99999,40000,-99999,0,0,0,0,0,997,4,96,116783,0,100,0,100,2340,9996,118,9994,0,1,40000,994,997,999999997,9996,113,1,0,999999997,1,1,"IAPS",NA
"H",7,53,3,0,2,1,40,146,1,4,92071,0,326,301,"MI",2,1,2012,0,7,1,2012,0,7,-1,0,0,1,0,0,346196,998,9996,96,6,3,80,117,295,8,2805,34,28336,59,-99999,2,2,2,2,5,8,-99999,1,1,1,1,-99999,6,57,98,96,65,92,28336,303011,1038,27542,0,0,0,0,0,998,8,96,346196,0,100,0,100,1179,9996,56,9994,0,1,883,994,998,33667,9996,117,3,98,999999998,998,4,"IAPS",9.06823e+017
"H",116,3,1,0,1,0,28,NA,1,1,26547,0,303,291,"WV",-1,0,-1,0,64,0,-1,0,65,-1,0,0,1,-1,0,122601,998,21,96,18,97,999999997,999999997,999999997,997,2116,999999994,35589,69,-99999,1,1,1,0,-99999,1,-99999,0,0,26,26,-99999,20,0,88,-99999,-99999,75,35589,94831,-99999,22523,0,0,0,0,0,998,1,1,121501,0,81,0,100,1029,24,69,9994,999999997,1,999999997,996,0,22523,9996,115,0,0,999999997,30,97,"IAPS",NA
"H",240,300,1,0,1,0,47,NA,1,2,77575,0,484,472,"TX",1,0,-1,0,81,0,-1,0,1,-1,0,0,0,13,0,59490,400,3,16,21,1,50,14,157,8,18802,999999994,5854,33,-99999,1,1,4,9,0,5,-99999,1,5,3,3,-99999,1,13,76,-99999,31,80,5204,18430,300,22107,6,74,74,0,1459,1,4,2,59490,2720,82,9,50,2772,0,58,74,0,30,300,994,998,59190,64,172,3,0,24915,30,1,"RCC",NA
"R",72,261,1,0,1,0,57,NA,1,1,60423,0,520,496,"IL",1,0,-1,0,131,0,-1,0,1,-1,0,0,1,-1,0,35708,998,41,96,44,5,127,0,256,4,10071,999999994,2550,134,-99999,1,2,3,1,4,4,-99999,2,2,6,6,-99999,4,54,59,23,75,89,2266,-99999,1730,20947,1,0,0,0,0,998,9,1,34708,0,83,6,91,2299,6,141,37,0,30,2071,65,998,20947,9996,104,1,98,999999998,998,4,"BRANCH",NA
"R",4,4,1,0,1,0,28,NA,1,1,77379,0,334,297,"ME",2,1,2012,126987,3,1,2012,126987,1,-1,0,0,1,0,0,28055,400,4,4,11,2,500,479,500,55,1025,999999994,4145,32,-99999,-99999,-99999,0,8,3,3,-99999,3,-99999,5,5,-99999,8,75,73,-99999,108,80,4145,-99999,567,22755,6,334,334,334,1030,996,3,1,28055,962,46,46,50,260,3,31,44,0,30,650,95,0,26755,9996,67,4,0,1025,1,2,"IAPS",NA
"H",60,132,3,2,2,0,43,NA,2,3,97030,0,265,253,"CA",2,0,2011,387000,63,0,2011,387000,57,325000,1.34,0,1,27,2,333565,998,8,38,42,1,0,999999996,0,996,5818,999999994,180318,87,-99999,0,1,4,8,0,3,-99999,0,8,0,0,0,12,9,102,-99999,49,33,180318,298552,236,23665,6,571914,902816,902816,902816,998,1,1,333565,562005,72,24,13,2425,0,109,61,0,400,300,48,997,23665,9996,148,2,0,999999997,1,0,"IAPS",NA
"R",13,75,1,0,1,0,24,NA,1,1,31098,0,280,268,"SC",2,0,-1,0,12,0,-1,0,1,15000,0.23,1,1,-1,2,5181,400,2,18,63,0,0,999999996,0,996,1015,999999994,2087,41,-99999,2,2,3,10,0,1,-99999,0,3,0,0,6,2,20,75,-99999,44,33,2087,-99999,500,-99999,9,1426,1426,1297,5073,998,2,2,5181,21245,24,35,13,570,1,42,35,0,0,999999996,996,997,4681,50,63,4,0,3976,120,0,"IAPS",NA
"R",17,16,2,1,1,0,26,NA,1,2,78212,0,295,283,"TX",1,1,2012,47640,6,1,-1,0,1,-1,0.83,0,0,-1,0,30114,400,3,47,7,1,0,999999996,0,996,820,0,3444,60,-99999,1,1,1,8,1,2,-99999,1,1,0,0,0,3,10,82,-99999,137,67,3444,-99999,300,21942,4,0,0,0,121,1,5,2,30114,121,74,13,82,1307,0,44,72,0,1,300,994,0,28314,9996,88,3,0,3030,90,2,"MOBILE",8.81176e+017
"R",24,72,1,0,1,0,24,NA,1,1,19401,1,298,262,"PA",2,0,-1,0,6,0,-1,0,7,-1,0,0,0,-1,0,1300,998,33,5,9998,1,50,25,70,6,999999996,999999996,2399,46,-99999,0,1,1,3,2,4,-99999,10,10,10,10,-99999,31,67,125,100,97,75,2399,-99999,776,-99999,3,648,648,491,648,998,2,1,1300,573,20,60,67,76,7,31,9,0,30,500,994,3,999999996,9996,66,0,98,999999998,998,2,"BRANCH",NA
"R",61,12,8,6,7,2,44,NA,1,9,37129,0,411,387,"TN",2,0,2012,153893,32,0,2012,153893,17,-1,0,0,1,-1,0,15233,998,16,96,37,2,53,4,68,7,6088,999999994,2118,29,-99999,0,0,2,5,2,2,-99999,5,14,1,1,-99999,11,40,41,-99999,81,100,1589,-99999,417,14233,5,0,265,0,674,998,2,0,15233,715,44,56,60,115,9996,40,38,0,1,500,99,998,14233,24,137,4,98,999999998,998,2,"BRANCH",9.08453e+017
"H",140,0,1,0,1,0,45,NA,1,1,30120,0,448,436,"GA",1,0,2009,0,184,0,-1,0,1,-1,0,0,1,12,0,1457,400,42,96,9998,0,50,44,50,26,999999996,999999997,364,106,0,1,1,1,7,1,0,-99999,1,1,1,1,-99999,3,43,55,86,55,100,364,-99999,667,-99999,4,0,0,0,0,998,3,0,757,2985,62,31,57,1355,64,116,99,0,1,999999996,996,998,999999997,9996,123,2,0,999999997,1,1,"BRANCH",NA
